Rm	Date	Read1	Read2	Read3	MEAN
159	40030	20	6	0	9
159	40030	18	5	2	8
128	40031	159	105	73	112
129	40031	36	23	8	22
129	40031	23	28	51	34
129	40031	9	10	17	12
164	40031	0	0	0	0
164	40031	0	0	0	0
147A	40031	5	4	5	5
147A	40031	5	5	4	5
126	40032	49	48	29	42
127	40032	189	106	43	113
127	40032	29	21	13	21
127	40032	87	45	91	74
131	40032	14	30	31	25
131	40032	5	42	35	27
131	40032	10	19	27	19
132	40032	35	12	7	18
133	40032	20	6	18	15
133	40032	58	29	21	36
133	40032	12	13	141	55
153	40032	172	170	136	159
153	40032	19	5	2	9
153	40032	7	1	0	3
154	40032	234	172	70	159
164	40032	0	0	0	0
164	40032	0	1	13	5
147A	40032	17	5	3	8
147A	40032	9	0	0	3
143	40035	11	1	0	4
145	40035	169	102	37	103
164	40035	0	2	8	3
