Rm Date	TAMC
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
147A	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
164T	39987	0
126	39988	0
126	39988	4
127	39988	0
127	39988	0
127	39988	0
127	39988	1
127	39988	0
127	39988	1
134	39988	3
135	39988	0
135	39988	0
135	39988	0
135	39988	0
152	39988	0
152	39988	0
156	39988	0
156	39988	0
156	39988	0
156	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	0
164	39988	1
164	39988	0
147A	39988	0
147A	39988	0
147A	39988	0
147A	39988	0
147A	39988	0
147A	39988	0
147A	39988	1
147A	39988	0
147A	39988	0
147A	39988	0
128	39989	0
128	39989	0
129	39989	0
129	39989	0
129	39989	0
129	39989	0
129	39989	0
129	39989	0
129	39989	0
129	39989	0
131	39989	0
131	39989	0
131	39989	0
134	39989	0
134	39989	0
135	39989	0
135	39989	0
135	39989	0
135	39989	0
135	39989	0
135	39989	0
135	39989	0
135	39989	0
143	39989	0
152	39989	0
156	39989	0
156	39989	0
157	39989	1
157	39989	0
157	39989	3
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
147A	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	0
165T	39989	2
165T	39989	0
126	39990	0
126	39990	0
126	39990	2
127	39990	0
127	39990	0
127	39990	0
127	39990	0
127	39990	0
127	39990	0
127	39990	1
127	39990	0
127	39990	0
159	39990	0
159	39990	0
164	39990	0
164	39990	0
164	39990	0
164	39990	0
165	39990	0
165	39990	0
165	39990	0
165	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
147A	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
165T	39990	0
131	39993	0
131	39993	0
131	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
147A	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
164T	39993	0
126	39994	0
126	39994	2
126	39994	1
127	39994	0
127	39994	0
127	39994	0
127	39994	0
127	39994	0
127	39994	0
127	39994	0
127	39994	0
127	39994	0
131	39994	0
131	39994	0
131	39994	0
131	39994	0
131	39994	0
131	39994	0
133	39994	0
133	39994	0
153	39994	0
153	39994	0
153	39994	0
154	39994	4
126	39995	2
127	39995	0
127	39995	0
127	39995	0
128	39995	0
129	39995	1
129	39995	0
129	39995	0
129	39995	0
132	39995	1
133	39995	0
133	39995	2
133	39995	1
134	39995	0
135	39995	0
135	39995	0
135	39995	0
135	39995	0
143	39995	11
153	39995	0
153	39995	0
153	39995	0
153	39995	0
154	39995	0
157	39995	0
157	39995	0
157	39995	0
159	39995	0
159	39995	0
159	39995	0
159	39995	0
159	39995	0
159	39995	0
159	39995	0
159	39995	0
128	39996	0
129	39996	0
129	39996	0
129	39996	0
129	39996	1
143	39996	0
152	39996	1
156	39996	0
156	39996	0
157	39996	0
157	39996	0
157	39996	0
159	39996	0
159	39996	0
159	39996	0
159	39996	0
159	39996	0
159	39996	0
159	39996	0
159	39996	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
147A	40000	0
164T	40000	0
164T	40000	0
164T	40000	0
164T	40000	0
164T	40000	0
164T	40000	0
164T	40000	3
164T	40000	0
128	40001	0
129	40001	1
129	40001	0
129	40001	0
129	40001	2
131	40001	0
131	40001	0
131	40001	0
133	40001	0
133	40001	0
153	40001	0
153	40001	0
154	40001	0
147A	40001	0
147A	40001	0
147A	40001	0
147A	40001	0
147A	40001	0
147A	40001	0
147A	40001	0
147A	40001	2
147A	40001	0
147A	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
164T	40001	0
126	40002	1
127	40002	0
127	40002	0
127	40002	0
132	40002	1
133	40002	0
133	40002	0
133	40002	0
143	40002	0
153	40002	0
153	40002	0
153	40002	0
154	40002	0
157	40002	0
157	40002	0
157	40002	0
158	40002	0
158	40002	0
158	40002	0
126	40003	3
